TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,ClusterKMeans
14.09,Debit,San Diego,ATM,70,Doctor,81,1,5112.21,1
376.24,Debit,Houston,ATM,68,Doctor,141,1,13758.91,3
126.29,Debit,Mesa,Online,19,Student,56,1,1122.35,2
184.5,Debit,Raleigh,Online,26,Student,25,1,8569.06,3
13.45,Credit,Atlanta,Online,26,Student,198,1,7429.4,0
92.15,Debit,Oklahoma City,ATM,18,Student,172,1,781.68,2
7.08,Credit,Seattle,ATM,37,Doctor,139,1,13316.71,3
171.42,Credit,Indianapolis,Branch,67,Retired,291,1,2796.24,0
106.23,Credit,Detroit,Branch,51,Engineer,86,1,9095.14,3
815.96,Debit,Nashville,ATM,55,Doctor,120,1,1021.88,4
17.78,Credit,Albuquerque,Online,52,Engineer,59,1,7599.52,3
190.02,Debit,Memphis,Online,21,Student,173,1,1528.81,2
494.52,Credit,Mesa,Branch,24,Student,111,1,1620.02,2
781.76,Debit,Memphis,ATM,26,Student,123,1,189.69,4
166.99,Debit,Louisville,Online,18,Student,134,1,299.93,2
465.45,Debit,Denver,ATM,36,Engineer,129,1,3465.54,4
555.8,Credit,Austin,Branch,19,Student,158,1,1131.26,2
492.93,Debit,Columbus,Online,39,Engineer,234,1,5109.97,0
18.68,Credit,Albuquerque,Branch,59,Retired,106,1,7948.37,1
71.48,Credit,Columbus,Online,18,Student,169,1,6568.59,2
59.32,Debit,Los Angeles,Branch,71,Retired,38,1,5750.89,1
85.77,Debit,Las Vegas,Branch,38,Doctor,93,1,9146.19,3
52.2,Debit,Atlanta,Online,39,Engineer,120,1,8974.93,3
345.84,Debit,Fort Worth,Online,22,Student,142,3,1402.5,2
145.54,Debit,Raleigh,Online,21,Student,96,1,1930.96,2
7.49,Credit,Houston,Online,65,Retired,276,1,3634.67,0
246.93,Debit,Miami,ATM,23,Student,158,5,673.35,2
40.32,Debit,Milwaukee,Branch,37,Engineer,95,1,2686.52,2
127.45,Debit,Las Vegas,Online,44,Doctor,197,1,1772.06,0
56.17,Debit,Detroit,Branch,27,Student,283,1,1351.69,0
28.31,Credit,Miami,Online,59,Doctor,20,1,8334.47,1
59.12,Debit,Baltimore,ATM,29,Doctor,257,1,9823.64,0
396.45,Debit,New York,ATM,49,Engineer,168,3,9690.15,3
877.81,Debit,Los Angeles,Online,22,Student,150,1,399.0,4
255.26,Credit,San Francisco,Branch,45,Doctor,50,1,14815.87,3
124.76,Debit,Seattle,Branch,49,Engineer,45,1,5764.72,1
78.13,Debit,Milwaukee,Branch,26,Student,145,1,900.61,2
649.28,Debit,San Jose,ATM,75,Retired,137,1,4875.86,4
795.31,Debit,Mesa,ATM,66,Doctor,90,2,7914.88,4
335.63,Debit,Oklahoma City,Online,55,Retired,216,1,1019.39,0
328.47,Debit,San Antonio,ATM,63,Retired,119,1,4323.66,1
34.02,Debit,Philadelphia,Online,38,Doctor,19,1,14214.48,3
241.42,Credit,Charlotte,Online,57,Doctor,116,1,13357.02,3
55.32,Debit,Tucson,ATM,19,Student,117,1,241.79,2
304.31,Debit,Louisville,Branch,27,Student,33,1,868.61,2
435.27,Debit,Chicago,Branch,74,Retired,90,1,4673.28,1
164.49,Debit,Baltimore,Branch,26,Student,75,1,1509.27,2
510.24,Debit,Oklahoma City,Online,19,Student,105,1,781.7,2
626.9,Debit,Denver,Online,26,Student,138,1,265.51,4
22.01,Credit,Sacramento,Online,41,Engineer,175,1,1335.09,0
425.34,Credit,Kansas City,Online,69,Retired,121,1,3907.54,1
424.56,Debit,Omaha,Online,51,Engineer,264,1,5183.85,0
85.43,Debit,Virginia Beach,Branch,67,Doctor,145,1,14904.9,3
169.5,Debit,San Diego,Branch,28,Student,142,1,918.88,2
104.63,Debit,Omaha,ATM,62,Retired,90,1,4477.78,1
316.95,Debit,Mesa,Branch,25,Student,83,1,1324.03,2
60.54,Credit,Columbus,Branch,57,Retired,52,1,3534.93,1
292.56,Credit,Dallas,Branch,68,Retired,61,1,4638.37,1
386.52,Debit,Indianapolis,Branch,48,Engineer,28,1,5630.61,1
112.07,Debit,Kansas City,Branch,23,Student,51,1,930.3,2
568.52,Debit,Indianapolis,ATM,46,Engineer,152,1,5499.91,4
263.99,Debit,Dallas,Branch,79,Retired,227,2,4175.02,0
349.64,Debit,Las Vegas,Online,48,Engineer,226,1,6651.62,0
601.4,Credit,Philadelphia,Branch,56,Engineer,104,1,8458.29,4
5.77,Debit,Charlotte,Online,50,Doctor,124,1,13988.12,3
201.33,Credit,Nashville,Branch,42,Engineer,186,1,2585.07,0
298.42,Debit,Indianapolis,Branch,56,Retired,225,1,3014.75,0
521.06,Debit,Albuquerque,Branch,25,Student,128,1,1951.42,2
117.28,Credit,Austin,Online,60,Engineer,16,1,3665.77,1
189.12,Credit,Indianapolis,Branch,32,Engineer,103,1,977.01,2
133.55,Debit,Atlanta,ATM,44,Engineer,220,1,3846.28,0
143.21,Debit,Dallas,Online,35,Engineer,135,1,6374.82,3
24.77,Debit,Boston,ATM,62,Retired,55,1,5866.01,1
233.92,Credit,Jacksonville,Online,26,Student,280,1,6537.62,0
1212.51,Debit,Indianapolis,Branch,20,Student,24,1,605.95,4
232.12,Debit,Omaha,ATM,37,Engineer,51,1,6689.87,3
162.63,Debit,Kansas City,Online,22,Student,113,1,634.17,2
91.53,Debit,Milwaukee,Branch,44,Doctor,69,1,14676.05,3
120.29,Debit,Miami,Branch,19,Student,77,1,1362.39,2
174.25,Debit,Seattle,Online,50,Doctor,67,1,10528.34,3
183.71,Debit,Denver,ATM,38,Engineer,102,1,552.52,2
345.39,Credit,Phoenix,Online,58,Engineer,80,1,6451.96,1
922.55,Debit,Detroit,ATM,63,Retired,87,1,4715.84,4
259.91,Debit,Denver,Online,49,Doctor,170,1,7176.86,0
154.71,Debit,San Diego,Online,34,Doctor,157,1,1523.72,2
1340.19,Credit,Austin,Online,54,Engineer,30,1,8654.28,4
24.56,Debit,Mesa,Branch,64,Doctor,69,1,9869.93,3
568.07,Debit,Washington,ATM,48,Doctor,115,1,10556.81,3
9.61,Credit,San Diego,Online,58,Doctor,179,1,12883.91,3
392.96,Debit,Kansas City,Online,24,Student,100,1,791.65,2
716.93,Credit,Milwaukee,Online,60,Retired,34,1,4064.02,4
223.85,Debit,Kansas City,ATM,53,Engineer,55,4,2929.91,1
230.66,Debit,Houston,Branch,21,Student,135,1,618.05,2
442.12,Debit,Los Angeles,Online,19,Student,260,1,1375.8,0
644.17,Debit,San Antonio,ATM,29,Engineer,72,1,1143.52,4
508.68,Credit,Mesa,Branch,51,Engineer,127,1,7708.41,4
858.63,Credit,San Francisco,Branch,27,Student,185,1,1872.96,4
25.36,Debit,Louisville,ATM,57,Engineer,78,1,201.04,1
147.62,Debit,Charlotte,Branch,71,Retired,133,1,2115.8,1
115.02,Debit,San Antonio,Branch,37,Doctor,175,1,7643.66,0
383.37,Debit,Fort Worth,Branch,30,Engineer,24,1,8901.93,3
98.54,Credit,El Paso,Online,20,Student,167,1,9383.43,3
83.24,Credit,Fort Worth,Branch,55,Doctor,164,1,1181.31,1
196.16,Debit,Virginia Beach,Branch,27,Engineer,146,1,9418.86,3
129.94,Debit,Las Vegas,ATM,32,Engineer,235,1,7954.92,0
306.9,Debit,Colorado Springs,Online,46,Engineer,51,1,9418.08,3
114.98,Debit,Seattle,Online,59,Retired,80,1,6144.68,1
756.59,Debit,Sacramento,Branch,27,Student,17,1,420.65,4
